customer_id,name,email,total_spend,social_handle,success,reason
108,William Allen,notfound21@example.com,2665.54,,False,Profile not found (404)
112,Karen Sanchez,karen_sanchez@example.com,1381.61,@karen_sanchez_social,True,Successfully found social handle for user
121,Lisa Clark,lisa_clark@company.com,1523.84,@lisa_clark_social,True,Successfully found social handle for user
125,Ruth Hernandez,,1783.04,,False,No email provided
138,Michelle Martin,michellemartin@company.com,123.52,@michellemartin_social,True,Successfully found social handle for user
146,Christopher Sanchez,christophersanchez@company.com,2840.71,@christophersanchez_social,True,Successfully found social handle for user
159,Joseph Brown,joseph.brown@hotmail.com,1750.68,@joseph_brown_social,True,Successfully found social handle for user
175,Patricia Anderson,patricia_anderson@hotmail.com,2197.93,@patricia_anderson_social,True,Successfully found social handle for user
182,Jennifer Flores,notfound27@example.com,2645.56,,False,Profile not found (404)
187,Mark Scott,mark_scott@yahoo.com,5620.63,@mark_scott_social,True,Successfully found social handle for user
201,Betty King,betty.king@company.com,2013.12,@betty_king_social,True,Successfully found social handle for user
207,Carol Robinson,carol_robinson@gmail.com,3258.36,@carol_robinson_social,True,Successfully found social handle for user
215,Elizabeth Brown,elizabeth_brown@company.com,2895.41,@elizabeth_brown_social,True,Successfully found social handle for user
217,Joshua Robinson,joshua_robinson@hotmail.com,1183.1,@joshua_robinson_social,True,Successfully found social handle for user
229,Donna Clark,,1285.08,,False,No email provided
231,Betty Sanchez,notfound11@example.com,1713.7,,False,Profile not found (404)
232,Anthony Hill,anthony_hill@gmail.com,1569.09,@anthony_hill_social,True,Successfully found social handle for user
251,Paul Garcia,,1240.83,,False,No email provided
274,Karen Davis,notfound15@example.com,3494.72,,False,Profile not found (404)
281,Ruth White,ruthwhite@yahoo.com,1616.8,@ruthwhite_social,True,Successfully found social handle for user
299,Donald Lee,,773.69,,False,No email provided
300,Karen Jackson,notfound24@example.com,714.58,,False,Profile not found (404)
306,Michelle Hill,michelle.hill@gmail.com,1701.77,@michelle_hill_social,True,Successfully found social handle for user
311,Joshua Walker,notfound22@example.com,3768.79,,False,Profile not found (404)
313,Jessica Taylor,jessica_taylor@yahoo.com,668.57,@jessica_taylor_social,True,Successfully found social handle for user
318,Richard Lee,richard_lee@example.com,1908.48,@richard_lee_social,True,Successfully found social handle for user
346,Barbara Rodriguez,notfound17@example.com,4469.87,,False,Profile not found (404)
347,Patricia Hernandez,patricia_hernandez@gmail.com,1581.95,@patricia_hernandez_social,True,Successfully found social handle for user
349,Paul White,paulwhite@gmail.com,234.05,@paulwhite_social,True,Successfully found social handle for user
350,Daniel Sanchez,notfound14@example.com,1290.38,,False,Profile not found (404)
356,Karen Hill,karen.hill@outlook.com,152.03,@karen_hill_social,True,Successfully found social handle for user
364,Sandra Johnson,sandrajohnson@outlook.com,2006.02,@sandrajohnson_social,True,Successfully found social handle for user
365,Steven Jones,stevenjones@company.com,1797.15,@stevenjones_social,True,Successfully found social handle for user
397,Daniel White,danielwhite@yahoo.com,2139.88,@danielwhite_social,True,Successfully found social handle for user
411,James Lee,james_lee@hotmail.com,958.21,@james_lee_social,True,Successfully found social handle for user
420,Lisa Perez,lisa.perez@yahoo.com,4432.01,@lisa_perez_social,True,Successfully found social handle for user
431,William Taylor,william_taylor@example.com,658.33,@william_taylor_social,True,Successfully found social handle for user
448,Joshua Flores,notfound8@example.com,1791.23,,False,Profile not found (404)
453,Paul Anderson,paul_anderson@example.com,2944.01,@paul_anderson_social,True,Successfully found social handle for user
454,Betty Johnson,betty.johnson@example.com,1727.38,@betty_johnson_social,True,Successfully found social handle for user
457,Donald Wilson,donald.wilson@yahoo.com,1545.21,@donald_wilson_social,True,Successfully found social handle for user
460,Patricia Robinson,patricia_robinson@yahoo.com,48.79,@patricia_robinson_social,True,Successfully found social handle for user
461,Elizabeth Martinez,elizabeth_martinez@example.com,455.24,@elizabeth_martinez_social,True,Successfully found social handle for user
466,Nancy Lee,nancy_lee@gmail.com,1217.67,@nancy_lee_social,True,Successfully found social handle for user
470,Joshua Brown,joshua_brown@yahoo.com,2148.38,@joshua_brown_social,True,Successfully found social handle for user
473,Richard Thompson,richardthompson@outlook.com,4406.45,@richardthompson_social,True,Successfully found social handle for user
479,Betty King,bettyking@example.com,1971.16,@bettyking_social,True,Successfully found social handle for user
483,James Robinson,james.robinson@outlook.com,4159.58,@james_robinson_social,True,Successfully found social handle for user
484,Andrew Martinez,andrew_martinez@example.com,5431.95,@andrew_martinez_social,True,Successfully found social handle for user
489,Steven Davis,stevendavis@yahoo.com,1803.85,@stevendavis_social,True,Successfully found social handle for user
500,Karen Flores,karen_flores@example.com,4445.51,@karen_flores_social,True,Successfully found social handle for user
501,Carol Harris,carolharris@hotmail.com,3179.67,@carolharris_social,True,Successfully found social handle for user
505,William Martin,william.martin@hotmail.com,1833.55,@william_martin_social,True,Successfully found social handle for user
513,Donna Wright,,3710.25,,False,No email provided
514,Richard Jackson,richard.jackson@company.com,2802.37,@richard_jackson_social,True,Successfully found social handle for user
556,Sharon Scott,notfound18@example.com,118.94,,False,Profile not found (404)
557,Karen Torres,karen.torres@gmail.com,2565.87,@karen_torres_social,True,Successfully found social handle for user
564,Susan Moore,notfound12@example.com,1012.89,,False,Profile not found (404)
590,Donald Jackson,donald.jackson@hotmail.com,2355.42,@donald_jackson_social,True,Successfully found social handle for user
593,Thomas Torres,,5030.34,,False,No email provided
600,Lisa Thompson,lisa.thompson@example.com,1734.63,@lisa_thompson_social,True,Successfully found social handle for user
611,Betty Scott,notfound5@example.com,888.78,,False,Profile not found (404)
618,Jennifer Hill,jennifer.hill@company.com,6862.78,@jennifer_hill_social,True,Successfully found social handle for user
637,Ruth Lewis,ruth_lewis@example.com,1453.55,@ruth_lewis_social,True,Successfully found social handle for user
639,Sandra White,notfound13@example.com,2299.28,,False,Profile not found (404)
645,Susan Williams,susan.williams@gmail.com,1750.51,@susan_williams_social,True,Successfully found social handle for user
646,Robert Walker,robertwalker@example.com,2369.11,@robertwalker_social,True,Successfully found social handle for user
652,Jessica Robinson,jessica_robinson@gmail.com,2252.76,@jessica_robinson_social,True,Successfully found social handle for user
659,Lisa Perez,notfound23@example.com,2269.01,,False,Profile not found (404)
668,Ruth Ramirez,ruth_ramirez@yahoo.com,2423.92,@ruth_ramirez_social,True,Successfully found social handle for user
673,Carol Thompson,carol_thompson@company.com,6958.55,@carol_thompson_social,True,Successfully found social handle for user
676,Mark Lewis,marklewis@hotmail.com,2473.18,@marklewis_social,True,Successfully found social handle for user
694,David Perez,davidperez@yahoo.com,2418.25,@davidperez_social,True,Successfully found social handle for user
707,Helen Flores,helen_flores@yahoo.com,3852.62,@helen_flores_social,True,Successfully found social handle for user
730,Joseph Miller,joseph_miller@example.com,3939.42,@joseph_miller_social,True,Successfully found social handle for user
731,Michael Robinson,michael.robinson@yahoo.com,1888.92,@michael_robinson_social,True,Successfully found social handle for user
756,Helen Rodriguez,helen.rodriguez@example.com,890.06,@helen_rodriguez_social,True,Successfully found social handle for user
760,John Perez,john_perez@outlook.com,1234.91,@john_perez_social,True,Successfully found social handle for user
768,Daniel Scott,danielscott@outlook.com,1379.6,@danielscott_social,True,Successfully found social handle for user
782,Jennifer Brown,jennifer.brown@hotmail.com,2104.59,@jennifer_brown_social,True,Successfully found social handle for user
784,Joseph Ramirez,joseph_ramirez@outlook.com,3841.23,@joseph_ramirez_social,True,Successfully found social handle for user
789,Helen Martinez,helenmartinez@outlook.com,2418.33,@helenmartinez_social,True,Successfully found social handle for user
795,Linda Clark,notfound30@example.com,2605.88,,False,Profile not found (404)
809,Betty Hill,bettyhill@hotmail.com,2862.29,@bettyhill_social,True,Successfully found social handle for user
817,Joshua Jackson,joshua.jackson@outlook.com,2278.18,@joshua_jackson_social,True,Successfully found social handle for user
818,Daniel Davis,danieldavis@outlook.com,4172.36,@danieldavis_social,True,Successfully found social handle for user
830,Charles Lewis,charles_lewis@hotmail.com,1562.96,@charles_lewis_social,True,Successfully found social handle for user
861,Barbara Martin,barbara_martin@gmail.com,2627.89,@barbara_martin_social,True,Successfully found social handle for user
863,Elizabeth Williams,elizabeth_williams@outlook.com,2617.34,@elizabeth_williams_social,True,Successfully found social handle for user
865,Elizabeth Harris,notfound28@example.com,1255.12,,False,Profile not found (404)
867,Sharon Rodriguez,sharon.rodriguez@company.com,47.97,@sharon_rodriguez_social,True,Successfully found social handle for user
869,Michael Moore,michael_moore@company.com,5129.15,@michael_moore_social,True,Successfully found social handle for user
872,Linda Hernandez,linda_hernandez@company.com,4054.54,@linda_hernandez_social,True,Successfully found social handle for user
874,Steven Rodriguez,steven.rodriguez@hotmail.com,1542.07,@steven_rodriguez_social,True,Successfully found social handle for user
876,Ruth Sanchez,ruth_sanchez@gmail.com,563.94,@ruth_sanchez_social,True,Successfully found social handle for user
885,Sandra Perez,sandra.perez@example.com,1209.5,@sandra_perez_social,True,Successfully found social handle for user
902,Sharon Anderson,sharon_anderson@company.com,1245.43,@sharon_anderson_social,True,Successfully found social handle for user
903,Richard Sanchez,richard.sanchez@gmail.com,3555.82,@richard_sanchez_social,True,Successfully found social handle for user
921,Donald Martinez,,3737.17,,False,No email provided
930,Donna Martinez,donna.martinez@yahoo.com,3171.57,@donna_martinez_social,True,Successfully found social handle for user
933,Betty Williams,betty_williams@company.com,1703.32,@betty_williams_social,True,Successfully found social handle for user
964,Karen Lopez,karen_lopez@hotmail.com,313.48,@karen_lopez_social,True,Successfully found social handle for user
967,David Wilson,david_wilson@outlook.com,763.24,@david_wilson_social,True,Successfully found social handle for user
